DANIEL CALDEIRA;1700;PSL;PSL / PSB;5672;eliminado
SINVAL DORIGON;1433;PTB;;5634;eliminado
MAURÃO;2050;PSC;PSC / PHS;5519;eliminado
SARGENTO ERNALDO;1280;PDT;;5480;eliminado
MARCOS DA FOTO;2331;PPS;PPS / DEM / PSDB;5456;eliminado
RODRIGO VALVERDE;1344;PT;PRB / PT / PR / PC do B / PT do B;5429;eliminado
LELIS DA ROCHA;4522;PSDB;PPS / DEM / PSDB;5295;eliminado
RICARDO ALVAREZ;5056;PSOL;;5288;eliminado
MAURICIO MARTINS;1131;PP;;5121;eliminado
TANDÃO;1920;PTN;;4983;eliminado
DR. SAULO;4384;PV;;4963;eliminado
DR. CARALAMBOS;2067;PSC;PSC / PHS;4906;eliminado
DR MARCAO DA MANCHA;7012;PT DO B;PRB / PT / PR / PC do B / PT do B;4892;eliminado
TICO DO TRANSPORTE ESCOLAR;1422;PTB;;4872;eliminado
CAPITÃO CRIVELARI;1190;PP;;4870;eliminado
GIVALDO VIEIRA;4563;PSDB;PPS / DEM / PSDB;4860;eliminado
ARMANDO HENRIQUE;1217;PDT;;4844;eliminado
ELIAS BITENCOURT;1135;PP;;4812;eliminado
MARCOS DE PAULA;4008;PSB;PSL / PSB;4775;eliminado
TEREZINHA RONDELLI;1319;PT;PRB / PT / PR / PC do B / PT do B;4695;eliminado
ALEMÃO DA SÁUDE;4568;PSDB;PPS / DEM / PSDB;4686;eliminado
ADÃO LIMA;4016;PSB;PSL / PSB;4600;eliminado
SIDNEI MARTINS;6511;PC DO B;PRB / PT / PR / PC do B / PT do B;4570;eliminado
DANILO MIKILIM;2045;PSC;PSC / PHS;4561;eliminado
DRA. SONIA DARCH;1351;PT;PRB / PT / PR / PC do B / PT do B;4553;eliminado
FERNANDO STANCATTI;1156;PP;;4519;eliminado
WILSON COELHO;1269;PDT;;4335;eliminado
MAGAIVER;1281;PDT;;4293;eliminado
FELICIDADE;4513;PSDB;PPS / DEM / PSDB;4292;eliminado
LUIZ CARLOS GOMES;1350;PT;PRB / PT / PR / PC do B / PT do B;4280;eliminado
SANTANA;1411;PTB;;4261;eliminado
NEI;1277;PDT;;4248;eliminado
JOSÉ ALEXANDRE RIBEIRO;4352;PV;;4200;eliminado
BUCK;2058;PSC;PSC / PHS;4171;eliminado
CATARINA RIGINIK;1141;PP;;4099;eliminado
DEKKA;4356;PV;;4001;eliminado
ROGÉRIO PINTO;1335;PT;PRB / PT / PR / PC do B / PT do B;3994;eliminado
CARVALHO SALES;1501;PMDB;;3947;eliminado
TICIANO NEVES;3120;PHS;PSC / PHS;3905;eliminado
PEDRO BAPTISTINI;1222;PDT;;3875;eliminado
DEUSDEDIT JR;4327;PV;;3843;eliminado
ANDERSON MENDONCA;4380;PV;;3727;eliminado
DR. MARCIO ABBUD;4444;PRP;PSDC / PRTB / PRP;3629;eliminado
ARI BARCELLOS;2014;PSC;PSC / PHS;3567;eliminado
RODRIGO PAIXAO;5040;PSOL;;3567;eliminado
ARCELINO ARAUJO;1361;PT;PRB / PT / PR / PC do B / PT do B;3502;eliminado
ALESSANDER VIGNA;1012;PRB;PRB / PT / PR / PC do B / PT do B;3498;eliminado
LINDONBERK SILVA;3399;PMN;;3485;eliminado
ATOR PABLO CIVITELLA;1467;PTB;;3438;eliminado
RENATO GALENDI;2505;DEM;PPS / DEM / PSDB;3424;eliminado
JOSUE TOPA TUDO;1278;PDT;;3380;eliminado
DR BENTO MACHADO;1475;PTB;;3369;eliminado
SARGENTO FERNANDO;4010;PSB;PSL / PSB;3363;eliminado
PROF HERMES;3133;PHS;PSC / PHS;3359;eliminado
MANOEL MOREIRA;1123;PP;;3354;eliminado
RONALDO ESPER;3636;PTC;;3354;eliminado
JOÃO LOCO;2027;PSC;PSC / PHS;3313;eliminado
RUBINHO CAI CAI;4043;PSB;PSL / PSB;3267;eliminado
PILOTO;1239;PDT;;3255;eliminado
MOURAD;1151;PP;;3246;eliminado
OMAR;2060;PSC;PSC / PHS;3246;eliminado
TENENTE PAZ;1340;PT;PRB / PT / PR / PC do B / PT do B;3235;eliminado
VERA MOTTA;4399;PV;;3232;eliminado
PAULINHO SOBRAL;1512;PMDB;;3166;eliminado
MARIANA CONTI;5075;PSOL;;3133;eliminado
MARIA DOLORES;4330;PV;;3097;eliminado
SAMPAIO;2501;DEM;PPS / DEM / PSDB;3084;eliminado
DRA ZIRVA;1253;PDT;;3024;eliminado
FAUSTO LOPES;4339;PV;;2972;eliminado
MAGUILA;1919;PTN;;2951;eliminado
NELSINHO DA BAHIA;1235;PDT;;2929;eliminado
POPPI;4501;PSDB;PPS / DEM / PSDB;2921;eliminado
JOAO ZAFALAO;1600;PSTU;;2920;eliminado
NÉFI TALES;1900;PTN;;2915;eliminado
DOUTOR LIMA;2377;PPS;PPS / DEM / PSDB;2823;eliminado
MISA BOITO;1317;PT;PRB / PT / PR / PC do B / PT do B;2808;eliminado
MARCOS ARAUJO;4519;PSDB;PPS / DEM / PSDB;2791;eliminado
ANTONIO BUGALU;2064;PSC;PSC / PHS;2785;eliminado
NUBIA SENNA;4324;PV;;2736;eliminado
LUCAS ALBANO;3333;PMN;;2731;eliminado
DR SILNEY BERALDO;1420;PTB;;2722;eliminado
NATAN SOIHET;4347;PV;;2718;eliminado
DALVAN;2030;PSC;PSC / PHS;2704;eliminado
PEDRINHO BARACAT;1132;PP;;2689;eliminado
BARBOSA;1214;PDT;;2687;eliminado
DR. PAULO POLO;6522;PC DO B;PRB / PT / PR / PC do B / PT do B;2673;eliminado
VALDECI CHIRANHA;1388;PT;PRB / PT / PR / PC do B / PT do B;2671;eliminado
PASTOR JOAO ALMEIDA;1472;PTB;;2597;eliminado
DR. AJURICABA;1533;PMDB;;2567;eliminado
JOSE CARLOS EYMAEL;2727;PSDC;PSDC / PRTB / PRP;2563;eliminado
ADILSON RODRIGUES;5012;PSOL;;2485;eliminado
